address	city	id	name	phone	type
100 e 63rd st 	new york city	104	park avenue cafe new york city 	212 644 1900	american new 
182 w 58th st 	new york	105	petrossian	212 245 2214	french
182 w 58th st 	new york city	106	petrossian	212 245 2214	russian
35 w 64th st 	new york	107	picholine	212 724 8585	mediterranean
35 w 64th st 	new york city	108	picholine	212 724 8585	mediterranean
95 ave a at 6th st 	new york	109	pisces	212 260 6660	seafood
95 ave a	new york city	110	pisces	212 260 6660	seafood
30 rockefeller plaza	new york	111	rainbow room	212 632 5000	or 212 632 5100 american
30 rockefeller plaza	new york city	112	rainbow room	212 632 5000	american new 
1 water st at the east river	brooklyn	113	river cafe	718 522 5200	american
1 water st 	brooklyn	114	river cafe	718 522 5200	american new 
240 central park s	new york	115	san domenico	212 265 5959	italian
240 central park s 	new york city	116	san domenico	212 265 5959	italian
156 2nd ave at 10th st 	new york	117	second avenue deli	212 677 0606	delicatessen
156 second ave 	new york city	118	second avenue deli	212 677 0606	delis
11 e 53rd st 	new york	119	seryna	212 980 9393	asian
11 e 53rd st 	new york city	120	seryna	212 980 9393	japanese
43 w 65th st 	new york	121	shun lee west	212 371 8844	asian
155 e 55th st 	new york city	122	shun lee palace	212 371 8844	chinese
1110 3rd ave at 65th st 	new york	123	sign of the dove	212 861 8080	american
1110 third ave 	new york city	124	sign of the dove	212 861 8080	american new 
201 e 49th st 	new york	125	smith wollensky	212 753 1530	american
797 third ave 	new york city	126	smith wollensky	212 753 1530	steakhouses
in central park at 67th st 	new york	127	tavern on the green	212 873 3200	american
central park west	new york city	128	tavern on the green	212 873 3200	american new 
747 9th ave between 50th and 51st sts 	new york	129	uncle nick s	212 315 1726	mediterranean
747 ninth ave 	new york city	130	uncle nick s	212 245 7992	greek
21 e 16th st 	new york	131	union square cafe	212 243 4020	american
21 e 16th st 	new york city	132	union square cafe	212 243 4020	american new 
152 w 44th st 	new york	133	virgil s	212 921 9494	american
152 w 44th st 	new york city	134	virgil s real bbq	212 921 9494	bbq
3200 las vegas blvd s	las vegas	135	chin s	702 733 8899	asian
3200 las vegas blvd s 	las vegas	136	chin s	702 733 8899	chinese
3799 las vegas blvd s	las vegas	137	coyote cafe	702 891 7349	southwestern
3799 las vegas blvd s 	las vegas	138	coyote cafe las vegas 	702 891 7349	southwestern
3000 w paradise rd 	las vegas	139	le montrachet	702 732 5111	continental
3000 paradise rd 	las vegas	140	le montrachet bistro	702 732 5651	french bistro
3570 las vegas blvd s	las vegas	141	palace court	702 731 7547	continental
3570 las vegas blvd s 	las vegas	142	palace court	702 731 7110	french new 
200 e fremont st 	las vegas	143	second street grille	702 385 3232	seafood
200 e fremont st 	las vegas	144	second street grill	702 385 6277	pacific rim
2880 las vegas blvd s	las vegas	145	steak house	702 734 0410	steak houses
2880 las vegas blvd s 	las vegas	146	steak house the	702 734 0410	steakhouses
2245 e flamingo rd 	las vegas	147	tillerman	702 731 4036	seafood
2245 e flamingo rd 	las vegas	148	tillerman the	702 731 4036	steakhouses
2355 peachtree rd peachtree battle shopping center	atlanta	149	abruzzi	404 261 8186	italian
2355 peachtree rd ne	atlanta	150	abruzzi	404 261 8186	italian
3125 piedmont rd near peachtree rd 	atlanta	151	bacchanalia	404 365 0410	international
3125 piedmont rd 	atlanta	152	bacchanalia	404 365 0410	californian
3130 piedmont road	atlanta	153	bone s	404 237 2663	american
3130 piedmont rd ne	atlanta	154	bone s restaurant	404 237 2663	steakhouses
3393 peachtree rd lenox square mall near neiman marcus	atlanta	155	brasserie le coze	404 266 1440	french
3393 peachtree rd 	atlanta	156	brasserie le coze	404 266 1440	french bistro
3073 piedmont road	atlanta	157	buckhead diner	404 262 3336	american
3073 piedmont rd 	atlanta	158	buckhead diner	404 262 3336	american new 
1529 piedmont ave 	atlanta	159	ciboulette	404 874 7600	french
1529 piedmont ave 	atlanta	160	ciboulette restaurant	404 874 7600	french new 
1 margaret mitchell sq 	atlanta	161	delectables	404 681 2909	american
1 margaret mitchell sq 	atlanta	162	delectables	404 681 2909	cafeterias
2290 peachtree rd peachtree square shopping center	atlanta	163	georgia grille	404 352 3517	american
2290 peachtree rd 	atlanta	164	georgia grille	404 352 3517	southwestern
490 e paces ferry rd 	atlanta	165	hedgerose heights inn	404 233 7673	international
490 e paces ferry rd ne	atlanta	166	hedgerose heights inn the	404 233 7673	continental
595 piedmont ave rio shopping mall	atlanta	167	heera of india	404 876 4408	asian
595 piedmont ave 	atlanta	168	heera of india	404 876 4408	indian
1397 n highland ave 	atlanta	169	indigo coastal grill	404 876 0676	caribbean
1397 n highland ave 	atlanta	170	indigo coastal grill	404 876 0676	eclectic
2637 peachtree rd peachtree house condominium	atlanta	171	la grotta	404 231 1368	italian
2637 peachtree rd ne	atlanta	172	la grotta	404 231 1368	italian
224 ponce de leon ave 	atlanta	173	mary mac s tea room	404 876 1800	southern
224 ponce de leon ave 	atlanta	174	mary mac s tea room	404 876 1800	southern soul
255 courtland st at harris st 	atlanta	175	nikolai s roof	404 221 6362	continental
255 courtland st 	atlanta	176	nikolai s roof	404 221 6362	continental
1232 w paces ferry rd 	atlanta	177	pano s and paul s	404 261 3662	international
1232 w paces ferry rd 	atlanta	178	pano s paul s	404 261 3662	american new 
3434 peachtree rd 	atlanta	179	cafe ritz carlton buckhead	404 237 2700	ext 6108 international
3434 peachtree rd ne	atlanta	180	ritz carlton cafe buckhead 	404 237 2700	american new 
3434 peachtree rd 	atlanta	181	dining room ritz carlton buckhead	404 237 2700	international
3434 peachtree rd ne	atlanta	182	ritz carlton dining room buckhead 	404 237 2700	american new 
181 peachtree st 	atlanta	183	restaurant ritz carlton atlanta	404 659 0400	continental
181 peachtree st 	atlanta	184	ritz carlton restaurant	404 659 0400	french classic 
b peachtree rd 	atlanta	185	toulouse	404 351 9533	french
293 b peachtree rd 	atlanta	186	toulouse	404 351 9533	french new 
41 14th st 	atlanta	187	veni vidi vici	404 875 8424	italian
41 14th st 	atlanta	188	veni vidi vici	404 875 8424	italian
126 clement st 	san francisco	189	alain rondelli	415 387 0408	french
126 clement st 	san francisco	190	alain rondelli	415 387 0408	french new 
252 california st 	san francisco	191	aqua	415 956 9662	seafood
252 california st 	san francisco	192	aqua	415 956 9662	american new 
1 mission st 	san francisco	193	boulevard	415 543 6084	american
1 mission st 	san francisco	194	boulevard	415 543 6084	american new 
7 claude la 	san francisco	195	cafe claude	415 392 3505	french
7 claude ln 	san francisco	196	cafe claude	415 392 3505	french bistro
340 stockton st 	san francisco	197	campton place	415 955 5555	american
340 stockton st 	san francisco	198	campton place	415 955 5555	american new 
804 northpoint	san francisco	199	chez michel	415 775 7036	french
804 north point st 	san francisco	200	chez michel	415 775 7036	californian
777 sutter st 	san francisco	201	fleur de lys	415 673 7779	french
777 sutter st 	san francisco	202	fleur de lys	415 673 7779	french new 
570 4th st 	san francisco	203	fringale	415 543 0573	french
570 fourth st 	san francisco	204	fringale	415 543 0573	french bistro
22 hawthorne st 	san francisco	205	hawthorne lane	415 777 9779	american
22 hawthorne st 	san francisco	206	hawthorne lane	415 777 9779	californian
5937 geary blvd 	san francisco	207	khan toke thai house	415 668 6654	asian
5937 geary blvd 	san francisco	208	khan toke thai house	415 668 6654	thai
2316 polk st 	san francisco	209	la folie	415 776 5577	french
2316 polk st 	san francisco	210	la folie	415 776 5577	french new 
816 folsom st 	san francisco	211	lulu	415 495 5775	mediterranean
816 folsom st 	san francisco	212	lulu restaurant bis cafe	415 495 5775	mediterranean
648 bush st 	san francisco	213	masa s	415 989 7154	french
648 bush st 	san francisco	214	masa s	415 989 7154	french new 
1737 post st 	san francisco	215	mifune japan center kintetsu building	415 922 0337	asian
1737 post st 	san francisco	216	mifune	415 922 0337	japanese
3201 fillmore st 	san francisco	217	plumpjack cafe	415 563 4755	mediterranean
3127 fillmore st 	san francisco	218	plumpjack cafe	415 563 4755	american new 
545 post st 	san francisco	219	postrio	415 776 7825	american
545 post st 	san francisco	220	postrio	415 776 7825	californian
600 stockton st 	san francisco	221	ritz carlton restaurant and dining room	415 296 7465	american
600 stockton st 	san francisco	222	ritz carlton dining room san francisco 	415 296 7465	french new 
532 columbus ave 	san francisco	223	rose pistola	415 399 0499	italian
532 columbus ave 	san francisco	224	rose pistola	415 399 0499	italian
2930 beverly glen circle	los angeles	225	adriano s ristorante	310 475 9807	italian
9570 wilshire blvd 	beverly hills	226	barney greengrass	310 777 5877	american
26025 pacific coast hwy 	malibu	227	beaurivage	310 456 5733	french
176 n canon dr 	los angeles	228	bistro garden	310 550 3900	californian
4th st 	los angeles	229	border grill	310 451 1655	mexican
3rd st promenade	santa monica	230	broadway deli	310 451 0616	american
346 s la brea ave 	los angeles	231	ca brea	213 938 2863	italian
4100 cahuenga blvd 	los angeles	232	ca del sol	818 985 4669	italian
700 w fifth st 	los angeles	233	cafe pinot	213 239 6500	californian
207 s beverly dr 	los angeles	234	california pizza kitchen	310 275 1101	californian
419 n fairfax ave 	los angeles	235	canter s	213 651 2030 	american
3rd st 	los angeles	236	cava	213 658 8898	mediterranean
656 n virgil ave 	los angeles	237	cha cha cha	213 664 7723	caribbean
310 n larchmont blvd 	los angeles	238	chan dara	213 467 1052	asian
168 w colorado blvd 	los angeles	239	clearwater cafe	818 356 0959	health food
9500 wilshire blvd 	los angeles	240	dining room	310 275 5200	californian
10250 santa monica blvd 	los angeles	241	dive 	310 788 	dive american
2628 wilshire blvd 	santa monica	242	drago	310 828 1585	italian
730 n la cienega blvd 	los angeles	243	drai s	310 358 8585	french
930 hilgard ave 	los angeles	244	dynasty room	310 208 8765	continental
8800 melrose ave 	los angeles	245	eclipse	310 724 5959	californian
134 n la cienega	los angeles	246	ed debevic s	310 659 1952	american
1121 s western ave 	los angeles	247	el cholo	213 734 2773	mexican
2424 main st 	santa monica	248	gilliland s	310 392 3901	american
4 fish 17300 pacific coast hwy at sunset blvd 	pacific palisades	249	gladstone s	310 454 3474	american
8600 beverly blvd 	los angeles	250	hard rock cafe	310 276 7605	american
2020 ave of the stars	los angeles	251	harry s bar american grill	310 277 2333	italian
301 n beverly dr 	los angeles	252	il fornaio cucina italiana	310 550 8330	italian
10668 w pico blvd 	los angeles	253	jack sprat s grill	310 837 6662	health food
439 n beverly drive	los angeles	254	jackson s farm	310 273 5578	californian
201 moreno dr 	los angeles	255	jimmy s	310 552 2394	continental
9255 sunset blvd 	los angeles	256	joss	310 276 1886	asian
8783 beverly blvd 	los angeles	257	le colonial	310 289 0660	asian
8720 sunset blvd 	los angeles	258	le dome	310 659 6919	french
4500 los feliz blvd 	los angeles	259	louise s trattoria	213 667 0777	italian
679 n spring st 	los angeles	260	mon kee seafood restaurant	213 628 6717	asian
8764 melrose ave 	los angeles	261	morton s	310 276 5205	american
414 n beverly dr 	los angeles	262	nate n al s	310 274 0101	american
601 s figueroa st 	los angeles	263	nicola	213 485 0927	american
1401 ocean ave 	santa monica	264	ocean avenue	310 394 5669	american
11705 national blvd 	los angeles	265	orleans	310 479 4187	cajun
6th st 	los angeles	266	pacific dining car	213 483 6000	american
10001 riverside dr 	toluca lake	267	paty s	818 761 9126	american
1448 n gower st 	los angeles	268	pinot hollywood	213 461 8800	californian
14928 ventura blvd 	sherman oaks	269	posto	818 784 4400	italian
362 n camden dr 	los angeles	270	prego	310 277 7346	italian
252 n beverly dr 	los angeles	271	rj s the rib joint	310 274 7427	american
3rd st promenade	santa monica	272	remi	310 393 6545	italian
111 s san pedro st 	los angeles	273	restaurant horikawa	213 680 9355	asian
1514 n gower st 	los angeles	274	roscoe s house of chicken n waffles	213 466 9329	american
3110 main st 	los angeles	275	schatzi on main	310 399 4800	continental
3rd st 	los angeles	276	sofi	213 651 0346	mediterranean
8020 beverly blvd 	los angeles	277	swingers	213 653 5858	american
7371 melrose ave 	los angeles	278	tavola calda	213 658 6340	italian
430 n camden dr 	los angeles	279	the mandarin	310 859 0926	asian
7313 melrose ave 	los angeles	280	tommy tang s	213 937 5733	asian
3835 cross creek rd 	los angeles	281	tra di noi	310 456 0169	italian
9876 wilshire blvd 	los angeles	282	trader vic s	310 276 6345	asian
1930 north hillhurst ave 	los feliz	283	vida	213 660 4446	american
60 n venice blvd 	los angeles	284	west beach cafe	310 823 5396	american
20 mott st between bowery and pell st 	new york	285	20 mott	212 964 0380	asian
9 jones st 	new york	286	9 jones street	212 989 1220	american
700 5th ave at 55th st 	new york	287	adrienne	212 903 3918	french
322 e 14 st between 1st and 2nd aves 	new york	288	agrotikon	212 473 2602	mediterranean
937 broadway at 22nd st 	new york	289	aja	212 473 8388	american
304 e 48th st 	new york	290	alamo	212 759 0590	mexican
311 w 17th st 	new york	291	alley s end	212 627 8899	american
1 united nations plaza at 44th st 	new york	292	ambassador grill	212 702 5014	american
2 park ave at 32nd st 	new york	293	american place	212 684 2122	american
222 e 58th st between 2nd and 3rd aves 	new york	294	anche vivolo	212 308 0112	italian
206 206 e 60th st 	new york	295	arizona	212 838 0440	american
106 w houston st off thompson st 	new york	296	arturo s	212 677 3820	italian
200 250 vesey st world financial center	new york	297	au mandarin	212 385 0313	asian
1022 3rd ave between 60th and 61st sts 	new york	298	bar anise	212 355 1112	mediterranean
321 w 46th st 	new york	299	barbetta	212 246 9171	italian
123 w 52nd st 	new york	300	ben benson s	212 581 8888	american
228 8th ave between 21st and 22nd sts 	new york	301	big cup	212 206 0059	coffee bar
948 1st ave between 52nd and 53rd sts 	new york	302	billy s	212 753 1870	american
13 1st ave near 1st st 	new york	303	boca chica	212 473 0108	latin american
23 e 22nd st 	new york	304	bolo	212 228 2200	mediterranean
1393a 2nd ave between 72nd and 73rd sts 	new york	305	boonthai	212 249 8484	asian
420 e 59th st off 1st ave 	new york	306	bouterin	212 758 0323	french
225 varick st at clarkston st 	new york	307	brothers bar b q	212 727 2775	american
240 e 58th st 	new york	308	bruno	212 688 4190	italian
25 w 40th st between 5th and 6th aves 	new york	309	bryant park grill roof restaurant and bp cafe	212 840 6500	american
103 waverly pl near washington sq 	new york	310	c3	212 254 1200	american
111 e 22nd st between park ave s and lexington ave 	new york	311	ct	212 995 8500	french
1486 2nd ave between 77th and 78th sts 	new york	312	cafe bianco	212 988 2655	coffee bar
160 central park s	new york	313	cafe botanica	212 484 5120	french
69 w 71st st 	new york	314	cafe la fortuna	212 724 5846	coffee bar
200 w 70th st 	new york	315	cafe luxembourg	212 873 7411	french
2 e 61st st 	new york	316	cafe pierre	212 940 8185	french
200 park ave between 45th st and vanderbilt ave 	new york	317	cafe centro	212 818 1222	french
246 w 4th st at charles st 	new york	318	cafe fes	212 924 7653	mediterranean
81 macdougal st between houston and bleeker sts 	new york	319	caffe dante	212 982 5275	coffee bar
46 greenwich ave 	new york	320	caffe dell artista	212 645 4431	coffee bar
169 sullivan st between houston and bleecker sts 	new york	321	caffe lure	212 473 2642	french
119 macdougal st between 3rd and bleecker sts 	new york	322	caffe reggio	212 475 9557	coffee bar
385 broome st at mulberry	new york	323	caffe roma	212 226 8413	coffee bar
32 jones st at bleecker st 	new york	324	caffe vivaldi	212 691 7538	coffee bar
7 w 20th st 	new york	325	caffe bondi ristorante	212 691 8136	italian
451 washington st near watts st 	new york	326	capsouto freres	212 966 4900	french
860 2nd ave at 46th st 	new york	327	captain s table	212 697 9538	seafood
150 wooster st between houston and prince sts 	new york	328	casa la femme	212 505 0005	middle eastern
45 mercer st between broome and grand sts 	new york	329	cendrillon asian grill marimba bar	212 343 9012	asian
72 macdougal st between w houston and bleecker sts 	new york	330	chez jacqueline	212 505 0727	french
160 e 48th st 	new york	331	chiam	212 371 2323	asian
60 w 53rd st 	new york	332	china grill	212 333 7788	american
120 w 51st st 	new york	333	cite	212 956 7100	french
23 e 74th st 	new york	334	coco pazzo	212 794 0205	italian
53rd sts 	new york	335	columbus bakery	212 421 0334	coffee bar
1013 3rd ave between 60th and 61st sts 	new york	336	corrado cafe	212 753 5100	coffee bar
522 9th ave at 39th st 	new york	337	cupcake cafe	212 465 1530	coffee bar
164 mulberry st between grand and broome sts 	new york	338	da nico	212 343 1212	italian
121 prince st 	new york	339	dean deluca	212 254 8776	coffee bar
341 w broadway near grand st 	new york	340	diva	212 941 9024	italian
181 w 10th st 	new york	341	dix et sept	212 645 8023	french
633 3rd ave at 40th st 	new york	342	docks	212 986 8080	seafood
157 duane st between w broadway and hudson st 	new york	343	duane park cafe	212 732 5555	american
219 w broadway between franklin and white sts 	new york	344	el teddy s	212 941 7070	mexican
1325 5th ave at 111th st 	new york	345	emily s	212 996 1212	american
6 e 32nd st 	new york	346	empire korea	212 725 1333	asian
2150 broadway between 75th and 76th sts 	new york	347	ernie s	212 496 1588	american
1288 1st ave at 69th st 	new york	348	evergreen cafe	212 744 3266	asian
39 desbrosses st near west st 	new york	349	f ille ponte ristorante	212 226 4621	italian
340 w broadway at grand st 	new york	350	felix	212 431 0021	french
29 e 65th st 	new york	351	ferrier	212 772 9000	french
57 e 57th st 	new york	352	fifty seven fifty seven	212 758 5757	american
635 9th ave between 44th and 45th sts 	new york	353	film center cafe	212 262 2525	american
1900 broadway between 63rd and 64th sts 	new york	354	fiorello s roman cafe	212 595 5330	italian
522 columbus ave between 85th and 86th sts 	new york	355	firehouse	212 595 3139	american
87 1st ave between 5th and 6th sts 	new york	356	first	212 674 3823	american
73 w 71st st 	new york	357	fishin eddie	212 874 3474	seafood
348 e 62nd st 	new york	358	fleur de jour	212 355 2020	coffee bar
21 west 17th st between 5th and 6th aves 	new york	359	flowers	212 691 8888	american
6 w 24th st 	new york	360	follonico	212 691 6359	italian
54 pearl st at broad st 	new york	361	fraunces tavern	212 269 0144	american
458 6th ave at 11th st 	new york	362	french roast	212 533 2233	french
2340 broadway at 85th st 	new york	363	french roast cafe	212 799 1533	coffee bar
402 w 43rd st off 9th ave 	new york	364	frico bar	212 564 7272	italian
467 columbus ave between 82nd and 83rd sts 	new york	365	fujiyama mama	212 769 1144	asian
685 amsterdam ave at 93rd st 	new york	366	gabriela s	212 961 0574	mexican
228 w 52nd st 	new york	367	gallagher s	212 245 5336	american
15 fulton st 	new york	368	gianni s	212 608 7300	seafood
208 e 58th st between 2nd and 3rd aves 	new york	369	girafe	212 752 3054	italian
33 93 2nd ave between 5th and 6th sts 	new york	370	global	212 477 8427	american
18 e broadway at catherine st 	new york	371	golden unicorn	212 941 0911	asian
228 thompson st between w 3rd and bleecker sts 	new york	372	grand ticino	212 777 5922	italian
151 w 54th st in the rihga royal hotel	new york	373	halcyon	212 468 8888	american
221 w 57th st 	new york	374	hard rock cafe	212 489 6565	american
1340 1st ave at 72nd st 	new york	375	hi life restaurant and lounge	212 249 3600	american
20 cornelia st between bleecker and w 4th st 	new york	376	home	212 243 9579	american
4 world financial center	new york	377	hudson river club	212 786 1500	american
122 e 27th st between lexington and park aves 	new york	378	i trulli	212 481 7372	italian
125 mulberry st between canal and hester sts 	new york	379	il cortile	212 226 6060	italian
251 e 53rd st 	new york	380	il nido	212 753 8450	italian
492 broome st near w broadway	new york	381	inca grill	212 966 3371	latin american
430 lafayette st between 4th st and astor pl 	new york	382	indochine	212 505 5111	asian
82 e 3rd st between 1st and 2nd aves 	new york	383	internet cafe	212 614 0747	coffee bar
13 w 46th st 	new york	384	ipanema	212 730 5848	latin american
68 w 58th st 	new york	385	jean lafitte	212 751 2323	french
15 w 44th st 	new york	386	jewel of india	212 869 5544	asian
219 e 44th st between 2nd and 3rd aves 	new york	387	jimmy sung s	212 682 5678	asian
326 w 46th st 	new york	388	joe allen	212 581 6464	american
152 w 52nd st 	new york	389	judson grill	212 582 5252	american
227 e 67th st 	new york	390	l absinthe	212 794 4950	french
1191 1st ave between 64th and 65th sts 	new york	391	l auberge	212 288 8791	middle eastern
310 w 4th st between w 12th and bank sts 	new york	392	l auberge du midi	212 242 4705	french
432 lafayette st near astor pl 	new york	393	l udo	212 388 0978	french
4 w 49th st 	new york	394	la reserve	212 247 2993	french
168 1st ave between 10th and 11th sts 	new york	395	lanza restaurant	212 674 7014	italian
361 w 46th st 	new york	396	lattanzi ristorante	212 315 0980	italian
211 w broadway at franklin st 	new york	397	layla	212 431 0700	middle eastern
106 e 57th st 	new york	398	le chantilly	212 751 2931	french
149 e 57th st 	new york	399	le colonial	212 752 0808	asian
50 macdougal st between houston and prince sts 	new york	400	le gamin	212 254 4678	coffee bar
25 cleveland pl near spring st 	new york	401	le jardin	212 343 9599	french
168 w 18th st 	new york	402	le madri	212 727 8022	italian
150 w 46th st 	new york	403	le marais	212 869 0900	american
405 e 52nd st 	new york	404	le perigord	212 755 6244	french
507 columbus ave between 84th and 85th sts 	new york	405	le select	212 875 1993	american
411 park ave s between 28th and 29th sts 	new york	406	les halles	212 679 4111	french
51 w 64th st 	new york	407	lincoln tavern	212 721 8271	american
30 west 22nd st between 5th and 6th ave 	new york	408	lola	212 675 6700	american
59 grand st between wooster st and w broadway	new york	409	lucky strike	212 941 0479	or 212 941 0772 american
2182 broadway between 77th and 78th sts 	new york	410	mad fish	212 787 0202	seafood
446 columbus ave between 81st and 82nd sts 	new york	411	main street	212 873 5025	american
